,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
197,health,"G1, G2",0.5367088607594936,0.41012658227848103,0.22025316455696203,0.41037735849056606,1.0006114605171208,0.00013459381509373092,1.0004253164556964,0.0013190126248350837
198,"G1, G3",health,0.4050632911392405,0.5367088607594936,0.21772151898734177,0.5375,1.0014740566037736,0.0003204614645088977,1.0017105713308245,0.0024740227610094384
199,"G1, health",G3,0.22278481012658227,0.529113924050633,0.21772151898734177,0.9772727272727273,1.8469986950848194,0.09984297388239063,20.71898734177217,0.5900310582531626
200,"G3, health",G1,0.28607594936708863,0.41265822784810124,0.21772151898734177,0.7610619469026548,1.844291221021771,0.09966992469155583,2.4581340834505387,0.6412254659409532
201,G1,"G3, health",0.41265822784810124,0.28607594936708863,0.21772151898734177,0.5276073619631902,1.844291221021771,0.09966992469155583,1.511293769521618,0.7794206094627104
202,G3,"G1, health",0.529113924050633,0.22278481012658227,0.21772151898734177,0.41148325358851673,1.8469986950848194,0.09984297388239063,1.3206339405166203,0.9738684671167793
203,health,"G1, G3",0.5367088607594936,0.4050632911392405,0.21772151898734177,0.4056603773584906,1.0014740566037736,0.0003204614645088977,1.0010046212577859,0.003177023764137804
204,"G3, G2",health,0.5215189873417722,0.5367088607594936,0.2810126582278481,0.5388349514563107,1.003961348232277,0.001108796667200762,1.004610259826782,0.008246341579674861
205,"G3, health",G2,0.28607594936708863,0.6303797468354431,0.2810126582278481,0.9823008849557521,1.5582684721185625,0.10067617369011375,20.883544303797304,0.5018209699060762
206,"G2, health",G3,0.3291139240506329,0.529113924050633,0.2810126582278481,0.8538461538461539,1.6137283768862716,0.10687389841371575,3.2218520986009342,0.5668876423593405
207,G3,"G2, health",0.529113924050633,0.3291139240506329,0.2810126582278481,0.5311004784688995,1.6137283768862718,0.10687389841371575,1.4307672436063033,0.8076625012108883
208,G2,"G3, health",0.6303797468354431,0.28607594936708863,0.2810126582278481,0.4457831325301205,1.5582684721185627,0.10067617369011375,1.288167308750688,0.9692706405035172
209,health,"G3, G2",0.5367088607594936,0.5215189873417722,0.2810126582278481,0.5235849056603774,1.0039613482322771,0.001108796667200762,1.0043363830053893,0.008516713434746167
210,"G1, G3",G2,0.4050632911392405,0.6303797468354431,0.4050632911392405,1.0,1.5863453815261044,0.14971959621855468,inf,0.6212765957446806
211,"G1, G2",G3,0.41012658227848103,0.529113924050633,0.4050632911392405,0.9876543209876543,1.8666194104790594,0.1880596058323986,38.141772151898564,0.7870708154506436
212,"G3, G2",G1,0.5215189873417722,0.41265822784810124,0.4050632911392405,0.7766990291262136,1.8821847638334626,0.18985419003364845,2.630269675288938,0.979563492063492
213,G1,"G3, G2",0.41265822784810124,0.5215189873417722,0.4050632911392405,0.9815950920245399,1.8821847638334623,0.18985419003364845,25.997468354430374,0.7980064655172414
214,G3,"G1, G2",0.529113924050633,0.41012658227848103,0.4050632911392405,0.7655502392344496,1.8666194104790592,0.1880596058323986,2.515990700077498,0.9859543010752687
215,G2,"G1, G3",0.6303797468354431,0.4050632911392405,0.4050632911392405,0.642570281124498,1.5863453815261044,0.14971959621855468,1.6644858483857206,0.9999999999999998
216,"Medu, Fedu, G2",famrel,0.2936708860759494,0.7620253164556962,0.23544303797468355,0.8017241379310345,1.0520964600756102,0.011658388078833543,1.2002201430930106,0.07010444367364255
217,"Medu, Fedu, famrel",G2,0.3240506329113924,0.6303797468354431,0.23544303797468355,0.7265625,1.1525790662650601,0.031168082038134898,1.3517540687160938,0.1958439047964237
218,"Medu, famrel, G2",Fedu,0.31139240506329113,0.4962025316455696,0.23544303797468355,0.7560975609756098,1.523768043802887,0.0809293382470758,2.065569620253165,0.4991698292220114
219,"Fedu, G2, famrel",Medu,0.28354430379746837,0.5822784810126582,0.23544303797468355,0.8303571428571428,1.4260481366459625,0.07034129145970197,2.462358427714856,0.41699912610661494
