antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"Medu, Fedu",G3,0.42025316455696204,0.529113924050633,0.25063291139240507,0.5963855421686747,1.12714013950539,0.02827111039897451,1.1666729642924616,0.19456574478408528
"Medu, G3",Fedu,0.3367088607594937,0.4962025316455696,0.25063291139240507,0.7443609022556391,1.500115083627436,0.08355712225604872,1.9707371556217426,0.5026216362094226
"Fedu, G3",Medu,0.28860759493670884,0.5822784810126582,0.25063291139240507,0.868421052631579,1.4914187643020596,0.08258291940394169,3.1746835443037984,0.46317265178475153
Medu,"Fedu, G3",0.5822784810126582,0.28860759493670884,0.25063291139240507,0.43043478260869567,1.4914187643020596,0.08258291940394169,1.249009566141656,0.7887970615243344
Fedu,"Medu, G3",0.4962025316455696,0.3367088607594937,0.25063291139240507,0.5051020408163266,1.500115083627436,0.08355712225604872,1.3402583844447347,0.6617430587279834
G3,"Medu, Fedu",0.529113924050633,0.42025316455696204,0.25063291139240507,0.47368421052631576,1.12714013950539,0.02827111039897451,1.101518987341772,0.23954599761051362
"Medu, G2",G1,0.39746835443037976,0.41265822784810124,0.2683544303797468,0.6751592356687898,1.6361220741666993,0.1043358436148053,1.808091337800943,0.6452750911685429
"Medu, G1",G2,0.2708860759493671,0.6303797468354431,0.2683544303797468,0.9906542056074766,1.5715197237548324,0.0975933344015382,39.54936708860759,0.4987879979035639
"G2, G1",Medu,0.41012658227848103,0.5822784810126582,0.2683544303797468,0.6543209876543209,1.123725174449812,0.02954654702771989,1.208408679927667,0.18665478986152706
Medu,"G2, G1",0.5822784810126582,0.41012658227848103,0.2683544303797468,0.4608695652173913,1.123725174449812,0.02954654702771989,1.0941200489995917,0.26357918810748976
G2,"Medu, G1",0.6303797468354431,0.2708860759493671,0.2683544303797468,0.4257028112449799,1.5715197237548322,0.0975933344015382,1.2695759936266264,0.9839105712070302
G1,"Medu, G2",0.41265822784810124,0.39746835443037976,0.2683544303797468,0.6503067484662577,1.6361220741666993,0.1043358436148053,1.7230290917166333,0.6619632400780741
"Medu, G3",G1,0.3367088607594937,0.41265822784810124,0.26582278481012656,0.7894736842105262,1.913141750080723,0.1268771030283608,2.789873417721518,0.719592875318066
"Medu, G1",G3,0.2708860759493671,0.529113924050633,0.26582278481012656,0.9813084112149532,1.8546259446407007,0.12249319019387914,25.192405063290984,0.6320105820105818
"G3, G1",Medu,0.4050632911392405,0.5822784810126582,0.26582278481012656,0.6562499999999999,1.1270380434782608,0.029963146931581447,1.2151898734177211,0.1894630192502531
